doc_id,req_id,req
DA-1,R01,User submit job associate deadline cost execution time
DA-1,R02,User query  cluster establish cost unit time submit job
DA-1,R03,User monitors status submit job
DA-1,R04,User cancels job submit
DA-1,R05,User checks credit balance
DA-1,R06,User checks usage history 
DA-1,R07,User checks status node cluster
DA-1,R08,User checks usage pattern history cluster
DA-1,R09,User checks status submit job
DA-1,R10,User checks load node cluster
DA-1,R11,User alters cost structure cluster
DA-1,R12,User alters schedule policy cluster
DA-1,R13,User takes a photo of a new student
DA-1,R14,The development process will follow Rational Unified Process (RUP) approach.
DA-1,R15,The SDMS will be developed under waterfall process model.
DA-1,R16,The objective of the project is to develop a meeting scheduler product through an organized routine which allows us to concentrate on core elements at different phases more easily and efficiently.
DA-1,R17,The web tier deals with the presentation logic and the pages  rendering
DA-1,R18,"The EIS tier is responsible for storing user profiles, and ride advertisements."
DA-1,R19,Runtime Pattern is applied.
DA-1,R20,Development is done on an extra application server
DA-1,R21,Application is deployed into 2 application servers working in a cluster. (4 in the future)
DA-1,R22,Application servers are IBM servers running Jboss Application Server
DA-1,R23,Database server is IBM server running MySQL server.
DA-1,R24,All application servers and Database server have redundancy using mirroring RAID mode.
DA-1,R25,Workstations run Linux and use Eclipse platform for development.
DA-2,R1,The system administrator must be able to deactivate and reactivate student account login
DA-2,R2,The system administrator must be able to force the sending of a new password to a student via email
DA-2,R3,The system administrator must be able to change any of a student's details
DA-2,R4,Student can be register on the system and fill in all detail and forward to choose project/supervisor
DA-2,R5,Student can change detail if information is incorrect such as telephone number
DA-2,R6,Student can change his login password at any time for security reason
DA-2,R7,Student can request his password if he/she forgotten the password
DA-2,R8,All staff can view the details of any student
DA-2,R9,Certain staff may be designated as Unit or Cohort Co-ordinators and can change the details of any student doing their unit or project cohort
DA-2,R10,Unit Cohort co-ordinator can change student detail for incorrect information
DA-2,R11,Unit Cohort co-ordinator can view student information and monitor their progress
DA-2,R12,Unit Cohort co-ordinator can all list employee who request a personal development program
DA-2,R13,Unit Cohort co-ordinator can reset the student's password if required
DA-2,R14,System Administrator can backup the mail server of course registration regularly
DA-2,R15,System Administrator can reset the student's password if required
DA-2,R16,Administration Staff can create a monthly accounting report
DA-2,R17,Administration Staff can make a school announcement
DA-2,R18,"This model encompasses the following activities: system engineering, requirement analysis, software design, implementation, and testing. The requirement analysis will be highly emphasized"
DA-2,R19,The SDMS will be developed under waterfall process model.
DA-2,R20,"The team consists of 7 members, and each member will be involved in a sub-phase of the project as a team leader. "
DA-2,R21,Team Crutch is developing a software application for Android cell phones that will mitigate the communication barriers faced by people with these deficiencies. 
DA-2,R22,Constant involvement of end users/beta users and developers to continuously monitor and find out the requirement gap. 
DA-2,R23,Be careful of “scope creep” which are uncontrolled changes.  Most large projects fall victim to scope creep. Scope creep often results in cost overrun.
DA-2,R24,The design pattern used to create the CPSS is the MVC (Model View Controller) design pattern.  
DA-2,R25,The MVC design patter clearly separated the web application’s behavior  presentation and control.  
DA-3,R1,The archive administrator can create a new client space.
DA-3,R2,The client administrator can manage roles for its client.
DA-3,R3,The archive administrator cannot access documents.
DA-3,R4,The client administrator can view all roles.
DA-3,R5,The client administrator canï¿½t read the contents of documents.
DA-3,R6,The client administrator cannot be deleted.
DA-3,R7,An end user can have multiple roles at the same time.
DA-3,R8,Each end user has a person role.
DA-3,R9,Only authenticated end users at the client server can access (as phrased in URCAR 45-48 and URCAR50) the document space.
DA-3,R10,End user cannot access (as phrased in URCAR 45-48 and URCAR50) the document spaces of other clients.
DA-3,R11,An end user can view assigned rights that are assigned to his role.
DA-3,R12,Each role is managed by at most one other role.
DA-3,R13,Each role inherits all static rights from the roles it manages.
DA-3,R14,Each role has a set (possibly empty) of person roles assigned to it.
DA-3,R15,Each role owns a set of documents in the SDA.
DA-3,R16,Each role has a set of rights assigned to it.
DA-3,R17,The archive administrator can limit the available client space.
DA-3,R18,A role canï¿½t be deleted when there exists documents that are owned by that role.
DA-3,R19,An end user can for a predefined period of time delegate a role to another person role.
DA-3,R20,A role has a log in which the assignment of rights and the expiration of rights are logged.
DA-3,R21,A role has a log in which delegations and the expiration of delegations are logged.
DA-3,R22,A role can have the right to assign a role-right to a subordinate role.
DA-3,R23,A role can have the right to remove a role-right from a subordinate role.
DA-3,R24,A role can have the right to create subordinate roles.
DA-3,R25,Any role has the right to read (view) all roles.
DA-3,R26,A role can have the right to update subordinate roles.
DA-3,R27,A role can have the right to delete subordinate roles.
DA-3,R28,A role cannot be deleted when it manages subordinate roles.
DA-3,R29,A role can have the right to couple a person role to a subordinate role.
DA-3,R30,A role can have the right to decouple a person role from a subordinate role.
DA-3,R31,A role can have the right to assign a document right of a document he owns to another role.
DA-3,R32,A role can have the right to take a document right of a document he owns from another role.
DA-3,R33,A role can upload files into the document space associated with that role.
DA-3,R34,A role can download files from the document space associated with that role.
DA-3,R35,A role with the update right can update files in the document space associated with that role.
DA-3,R36,A role with the delete right can delete files in the document space associated with that role.
DA-3,R37,Each document in the SDA is owned by exactly one role.
DA-3,R38,A role that owns a document can hand over that ownership to another role.
DA-3,R39,A user can start chating with other user by clicking on the chat menu
DA-3,R40,Documentation will also be updated after each meeting. Team leader can adjust the weekly goals by checking the progress of each subphase to ensure the subphase will meet the requirements and be deliverable on time.
DA-3,R41,Software Documentation. UML Documentation: Rational Rose. Project Documents: Microsoft Office
DA-3,R42,Added the project overview and project organization.
DA-3,R43,The design pattern used to create the CPSS is the MVC (Model View Controller) design pattern.  
DA-3,R44,The MVC design patter clearly separated the web application’s behavior  presentation and control.  
DA-3,R45,"The business tier deals with the core functionalities of the system. (Search, post, match rides, manage profiles)"
DA-3,R46,"The EIS tier is responsible for storing user profiles, and ride advertisements."
DA-3,R47,Runtime Pattern is applied.
DA-3,R48,After deployment the development server fails. Use one of the operational servers if urgent until problem is fixed
